team_name,season,games_played,wins,losses,win_pct
Aces,2018,33,14,19,0.42424242424242425
Aces,2019,39,23,16,0.5897435897435898
Aces,2020,30,21,9,0.7
Aces,2021,37,26,11,0.7027027027027027
Aces,2022,47,35,12,0.7446808510638298
Aces,2023,50,42,8,0.84
Aces,2024,46,30,16,0.6521739130434783
Comets,2003,28,18,10,0.6428571428571429
Comets,2004,33,13,20,0.3939393939393939
Comets,2005,39,21,18,0.5384615384615384
Comets,2006,36,18,18,0.5
Comets,2007,34,13,21,0.38235294117647056
Comets,2008,33,16,17,0.48484848484848486
Dream,2008,33,4,29,0.12121212121212122
Dream,2009,36,18,18,0.5
Dream,2010,41,23,18,0.5609756097560976
Dream,2011,42,24,18,0.5714285714285714
