game_id,season,season_type,game_date,game_date_time,team_id,team_uid,team_slug,team_location,team_name,team_abbreviation,team_display_name,team_short_display_name,team_home_away,team_score,team_winner,assists,blocks,defensive_rebounds,field_goal_pct,field_goals_made,field_goals_attempted,flagrant_fouls,fouls,free_throw_pct,free_throws_made,free_throws_attempted,offensive_rebounds,steals,team_turnovers,technical_fouls,three_point_field_goal_pct,three_point_field_goals_made,three_point_field_goals_attempted,total_rebounds,total_technical_fouls,total_turnovers,turnovers,opponent_team_id,opponent_team_uid,opponent_team_slug,opponent_team_location,opponent_team_name,opponent_team_abbreviation,opponent_team_display_name,opponent_team_short_display_name
300822005,2010,2,2010-08-22,2010-08-22T21:00:00Z,8,s:40~l:59~t:8,minnesota-lynx,Minnesota,Lynx,MIN,Minnesota Lynx,Lynx,away,83,True,8,0,29,35.3,30,85,0,34,87.0,20,23,15,8,0,0,21.4,3,14,44,0,9,9,5,s:40~l:59~t:5,indiana-fever,Indiana,Fever,IND,Indiana Fever,Fever
300822005,2010,2,2010-08-22,2010-08-22T21:00:00Z,5,s:40~l:59~t:5,indiana-fever,Indiana,Fever,IND,Indiana Fever,Fever,home,79,False,16,8,36,39.3,22,56,0,22,72.5,29,40,8,3,0,0,33.3,6,18,44,0,20,20,8,s:40~l:59~t:8,minnesota-lynx,Minnesota,Lynx,MIN,Minnesota Lynx,Lynx
300822009,2010,2,2010-08-22,2010-08-22T20:00:00Z,18,s:40~l:59~t:18,connecticut-sun,Connecticut,Sun,CT,Connecticut Sun,Sun,away,87,False,18,4,32,44.7,34,76,0,16,91.7,11,12,7,4,0,0,42.1,8,19,39,0,13,13,9,s:40~l:59~t:9,new-york-liberty,New York,Liberty,NYL,New York Liberty,Liberty
300822009,2010,2,2010-08-22,2010-08-22T20:00:00Z,9,s:40~l:59~t:9,new-york-liberty,New York,Liberty,NYL,New York Liberty,Liberty,home,88,True,20,3,30,42.5,34,80,0,18,85.7,12,14,8,11,1,0,53.3,8,15,38,0,8,7,18,s:40~l:59~t:18,connecticut-sun,Connecticut,Sun,CT,Connecticut Sun,Sun
300822017,2010,2,2010-08-22,2010-08-22T19:00:00Z,11,s:40~l:59~t:11,phoenix-mercury,Phoenix,Mercury,PHO,Phoenix Mercury,Mercury,away,82,False,14,2,29,44.4,28,63,0,20,85.7,18,21,11,5,1,0,36.4,8,22,40,0,12,11,17,s:40~l:59~t:17,san-antonio-silver-stars,San Antonio,Silver Stars,SAS,San Antonio Silver Stars,Silver Stars
300822017,2010,2,2010-08-22,2010-08-22T19:00:00Z,17,s:40~l:59~t:17,san-antonio-silver-stars,San Antonio,Silver Stars,SAS,San Antonio Silver Stars,Silver Stars,home,83,True,22,2,24,46.3,31,67,0,17,57.9,11,19,8,7,0,0,37.0,10,27,32,0,9,9,11,s:40~l:59~t:11,phoenix-mercury,Phoenix,Mercury,PHO,Phoenix Mercury,Mercury
300822020,2010,2,2010-08-22,2010-08-22T19:00:00Z,16,s:40~l:59~t:16,washington-mystics,Washington,Mystics,WAS,Washington Mystics,Mystics,away,90,True,25,4,34,45.1,32,71,0,31,63.2,24,38,14,10,1,0,18.2,2,11,48,0,14,13,20,s:40~l:59~t:20,atlanta-dream,Atlanta,Dream,ATL,Atlanta Dream,Dream
300822020,2010,2,2010-08-22,2010-08-22T19:00:00Z,20,s:40~l:59~t:20,atlanta-dream,Atlanta,Dream,ATL,Atlanta Dream,Dream,home,81,False,18,2,23,35.6,26,73,0,23,68.4,26,38,13,8,0,0,23.1,3,13,36,0,13,13,16,s:40~l:59~t:16,washington-mystics,Washington,Mystics,WAS,Washington Mystics,Mystics
300821014,2010,2,2010-08-21,2010-08-22T03:00:00Z,6,s:40~l:59~t:6,los-angeles-sparks,Los Angeles,Sparks,LOS,Los Angeles Sparks,Sparks,away,75,False,17,2,24,47.4,27,57,0,16,100.0,15,15,5,7,1,0,37.5,6,16,29,0,16,15,14,s:40~l:59~t:14,seattle-storm,Seattle,Storm,SEA,Seattle Storm,Storm
300821014,2010,2,2010-08-21,2010-08-22T03:00:00Z,14,s:40~l:59~t:14,seattle-storm,Seattle,Storm,SEA,Seattle Storm,Storm,home,76,True,19,4,21,40.9,27,66,0,12,73.7,14,19,11,11,1,0,36.4,8,22,32,0,12,11,6,s:40~l:59~t:6,los-angeles-sparks,Los Angeles,Sparks,LOS,Los Angeles Sparks,Sparks
300821003,2010,2,2010-08-21,2010-08-22T00:00:00Z,19,s:40~l:59~t:19,chicago-sky,Chicago,Sky,CHI,Chicago Sky,Sky,away,71,False,18,2,23,44.8,26,58,0,19,68.2,15,22,7,11,0,0,36.4,4,11,30,0,17,17,3,s:40~l:59~t:3,tulsa-shock,Tulsa,Shock,TUL,Tulsa Shock,Shock
300821003,2010,2,2010-08-21,2010-08-22T00:00:00Z,3,s:40~l:59~t:3,tulsa-shock,Tulsa,Shock,TUL,Tulsa Shock,Shock,home,84,True,21,2,25,50.7,36,71,0,14,69.2,9,13,13,8,0,0,30.0,3,10,38,0,14,14,19,s:40~l:59~t:19,chicago-sky,Chicago,Sky,CHI,Chicago Sky,Sky
300820006,2010,2,2010-08-20,2010-08-21T02:30:00Z,8,s:40~l:59~t:8,minnesota-lynx,Minnesota,Lynx,MIN,Minnesota Lynx,Lynx,away,91,False,20,1,23,56.9,37,65,0,20,91.7,11,12,6,6,0,0,35.3,6,17,29,0,14,14,6,s:40~l:59~t:6,los-angeles-sparks,Los Angeles,Sparks,LOS,Los Angeles Sparks,Sparks
300820006,2010,2,2010-08-20,2010-08-21T02:30:00Z,6,s:40~l:59~t:6,los-angeles-sparks,Los Angeles,Sparks,LOS,Los Angeles Sparks,Sparks,home,98,True,24,1,18,50.0,33,66,0,10,91.7,22,24,11,6,1,0,50.0,10,20,29,0,10,9,8,s:40~l:59~t:8,minnesota-lynx,Minnesota,Lynx,MIN,Minnesota Lynx,Lynx
300820011,2010,2,2010-08-20,2010-08-21T02:00:00Z,14,s:40~l:59~t:14,seattle-storm,Seattle,Storm,SEA,Seattle Storm,Storm,away,78,True,23,4,22,45.1,32,71,0,20,54.5,6,11,11,14,1,0,47.1,8,17,33,0,13,12,11,s:40~l:59~t:11,phoenix-mercury,Phoenix,Mercury,PHO,Phoenix Mercury,Mercury
300820011,2010,2,2010-08-20,2010-08-21T02:00:00Z,11,s:40~l:59~t:11,phoenix-mercury,Phoenix,Mercury,PHO,Phoenix Mercury,Mercury,home,73,False,16,8,27,47.3,26,55,0,12,78.9,15,19,7,6,0,0,31.6,6,19,34,0,21,21,14,s:40~l:59~t:14,seattle-storm,Seattle,Storm,SEA,Seattle Storm,Storm
300820019,2010,2,2010-08-20,2010-08-21T00:30:00Z,18,s:40~l:59~t:18,connecticut-sun,Connecticut,Sun,CT,Connecticut Sun,Sun,away,78,True,20,7,30,42.6,29,68,0,12,71.4,10,14,9,5,2,0,41.7,10,24,39,0,10,8,19,s:40~l:59~t:19,chicago-sky,Chicago,Sky,CHI,Chicago Sky,Sky
